保利领秀前城,青秀,4室 2厅 2卫,14414 元/m²,111平方米,2018年,南,中层(共33层),精装修,有,22.800504,108.429898
云星钱隆天下南区,青秀,1室 1厅 1卫,16835 元/m²,50.5平方米,2010年,南,高层(共18层),精装修,有,22.803805,108.371219
凤岭名园,青秀,1室 0厅 1卫,16525 元/m²,39.9平方米,2010年,南,高层(共18层),精装修,有,22.832666,108.426085
荣和中央公园,青秀,3室 2厅 2卫,19347 元/m²,111.1平方米,2013年,南,中层(共31层),精装修,有,22.824801,108.344122
保利领秀前城,青秀,3室 2厅 2卫,13793 元/m²,87平方米,2018年,南北,中层(共33层),精装修,有,22.800504,108.429898
唐樾青山,青秀,4室 2厅 2卫,12427 元/m²,112.7平方米,2017年,南北,中层(共33层),精装修,有,22.805765,108.430969
保利领秀前城,青秀,4室 2厅 2卫,12250 元/m²,108平方米,2017年,南,中层(共25层),精装修,有,22.800504,108.429898
皇巢世家,青秀,3室 2厅 2卫,24712 元/m²,123.4平方米,2012年,南,高层(共32层),精装修,有,22.817758,108.394975
民发大观天下,青秀,4室 2厅 2卫,12915 元/m²,130.1平方米,2011年,南,高层(共28层),豪华装修,有,22.783749,108.350255
气象生活小区,青秀,3室 2厅 1卫,13084 元/m²,107平方米,2000年,南北,中层(共7层),简单装修,无,22.821532,108.355608
保利21世家,青秀,3室 2厅 2卫,17948 元/m²,86.4平方米,2009年,南,低层(共32层),精装修,有,22.810725,108.40108
美泉1612,青秀,1室 1厅 1卫,17179 元/m²,52.4平方米,2012年,南北,低层(共28层),精装修,有,22.832011,108.422388
苹果园,青秀,5室 3厅 2卫,9197 元/m²,250.1平方米,2014年,南北,高层(共12层),豪华装修,有,22.805763,108.429472
联发君澜,青秀,4室 2厅 2卫,14188 元/m²,112.8平方米,2015年,南,低层(共34层),简单装修,有,22.849232,108.389066
海茵国际花城,青秀,4室 2厅 2卫,7498 元/m²,173.4平方米,2010年,南,高层(共6层),毛坯,无,22.81284,108.468286
荣和山水美地5组团梦想湾,青秀,3室 2厅 2卫,16387 元/m²,119平方米,2005年,南,低层(共6层),简单装修,无,22.822713,108.41217
华凯逸悦豪庭二期,青秀,3室 2厅 2卫,14234 元/m²,137平方米,2014年,东南,低层(共32层),毛坯,有,22.822528,108.429874
绿海云天,青秀,3室 2厅 2卫,17269 元/m²,130.3平方米,2011年,南,高层(共11层),豪华装修,有,22.805969,108.399576
保利领秀前城,青秀,4室 2厅 2卫,14414 元/m²,111平方米,2018年,南,中层(共32层),精装修,有,22.800504,108.429898
金龙理想1号,青秀,4室 2厅 2卫,13194 元/m²,144平方米,2010年,南,中层(共11层),精装修,有,22.822691,108.423086
升禾绿城世界,青秀,2室 2厅 1卫,17089 元/m²,79平方米,2013年,南,中层(共17层),精装修,有,22.830355,108.424097
中铁凤岭国际城,青秀,3室 2厅 2卫,11044 元/m²,99平方米,2017年,南,中层(共25层),精装修,有,22.798538,108.454328
保利童心缘,青秀,4室 2厅 2卫,16508 元/m²,126平方米,2015年,东南,高层(共26层),精装修,有,22.834833,108.417579
中铁凤岭国际城,青秀,3室 2厅 2卫,11112 元/m²,99平方米,2018年,南北,中层(共26层),精装修,有,22.798538,108.454328
凤岭春天,青秀,3室 2厅 1卫,13217 元/m²,89.3平方米,2014年,东南,低层(共11层),精装修,有,22.822093,108.42611
保利童心缘,青秀,3室 2厅 2卫,16222 元/m²,90平方米,2017年,南北,中层(共32层),精装修,有,22.834833,108.417579
半岛融园,青秀,3室 2厅 2卫,10694 元/m²,127.2平方米,2008年,南北,高层(共9层),精装修,有,22.782232,108.346856
招商雍景湾,青秀,3室 2厅 2卫,15152 元/m²,96.4平方米,2016年,南,中层(共30层),简单装修,有,22.788783,108.358534
莱茵湖畔,青秀,6室 2厅 4卫,12729 元/m²,223.9平方米,2012年,南北,高层(共11层),毛坯,有,22.815013,108.422336
保利领秀前城,青秀,3室 2厅 2卫,13837 元/m²,86平方米,2017年,南北,中层(共32层),精装修,有,22.800504,108.429898
枫丹丽舍,青秀,2室 2厅 1卫,7196 元/m²,87.6平方米,2005年,南北,高层(共6层),精装修,无,22.782025,108.503138
联盟新城,青秀,1室 1厅 1卫,19411 元/m²,43.8平方米,2010年,西,高层(共15层),精装修,有,22.808013,108.39918
长湖景苑,青秀,4室 2厅 2卫,14791 元/m²,142平方米,2013年,南,中层(共33层),精装修,有,22.834907,108.369888
凤景湾,青秀,4室 2厅 2卫,19586 元/m²,152.2平方米,2014年,南,中层(共31层),精装修,有,22.827656,108.39511
昌泰东盟园,青秀,1室 1厅 1卫,18761 元/m²,45.8平方米,2017年,南北,中层(共32层),精装修,有,22.813497,108.405315
好运公寓,青秀,3室 2厅 2卫,11093 元/m²,99.2平方米,2000年,东南,高层(共9层),精装修,有,22.821752,108.345563
御江水岸,青秀,2室 2厅 1卫,3930 元/m²,89.1平方米,2019年,南,中层(共22层),毛坯,有,22.767764,108.505105
云星钱隆天下北区,青秀,1室 1厅 1卫,13976 元/m²,54.4平方米,2012年,南,低层(共18层),简单装修,有,22.80455,108.369399
南湖绿庭,青秀,3室 2厅 1卫,11846 元/m²,97.9平方米,2000年,南,高层(共7层),精装修,无,22.808274,108.356813
汇金苑,青秀,2室 2厅 1卫,12040 元/m²,99.7平方米,2004年,东南,中层(共31层),精装修,有,22.8169,108.369755
科技苑综合楼,青秀,3室 2厅 1卫,10833 元/m²,120平方米,1998年,南北,中层(共8层),简单装修,有,22.827264,108.355362
凤岭名园,青秀,3室 2厅 2卫,13086 元/m²,124.6平方米,2010年,南,低层(共23层),毛坯,有,22.832666,108.426085
保利领秀前城,青秀,4室 2厅 2卫,16000 元/m²,100平方米,2018年,南北,中层(共32层),精装修,有,22.800504,108.429898
铭湖经典,青秀,1室 0厅 1卫,13800 元/m²,52.9平方米,2008年,东南,低层(共31层),简单装修,有,22.81828,108.370859
利海亚洲国际,青秀,1室 1厅 1卫,15806 元/m²,50平方米,2009年,西南,中层(共30层),精装修,有,22.815775,108.404909
飞扬世代,青秀,1室 1厅 1卫,9402 元/m²,35.1平方米,2010年,南,高层(共28层),精装修,有,22.814164,108.440779
丝绸公司宿舍,青秀,2室 1厅 1卫,19286 元/m²,56平方米,1999年,南北,中层(共7层),精装修,无,22.82646,108.353663
荣和悦澜山,青秀,3室 2厅 2卫,14469 元/m²,91.9平方米,2018年,南,中层(共30层),简单装修,有,22.849897,108.386616
中鼎万象东方,青秀,1室 0厅 1卫,13379 元/m²,46.3平方米,2010年,南北,中层(共30层),精装修,有,22.819908,108.399886
盛天华府,青秀,3室 2厅 1卫,22618 元/m²,83.1平方米,2009年,南,高层(共22层),精装修,有,22.816032,108.407193
仙葫警官学校教职工宿舍,青秀,5室 2厅 2卫,8000 元/m²,175平方米,2009年,南北,高层(共6层),毛坯,无,22.808355,108.449753
保利21世家,青秀,4室 2厅 2卫,18939 元/m²,125.1平方米,2009年,南,低层(共16层),精装修,有,22.810725,108.40108
竹苑公寓,青秀,4室 2厅 2卫,13043 元/m²,128.8平方米,2002年,东南,中层(共7层),精装修,有,22.822379,108.356274
万科城(南区),青秀,3室 2厅 2卫,15787 元/m²,91.9平方米,2017年,西南,低层(共41层),精装修,有,22.846691,108.387662
东方广场,青秀,2室 1厅 1卫,8861 元/m²,72平方米,2009年,南北,中层(共18层),简单装修,有,22.813564,108.454998
大地华城,青秀,3室 2厅 2卫,11713 元/m²,122.1平方米,2008年,南北,高层(共32层),豪华装修,有,22.83122,108.368246
兴宁区机关宿舍,青秀,4室 2厅 2卫,10714 元/m²,140平方米,2000年,南,中层(共7层),精装修,有,22.829194,108.362649
半岛康城,青秀,3室 2厅 2卫,10451 元/m²,133平方米,2009年,南,低层(共18层),精装修,有,22.784166,108.356459
宏桂东昇,青秀,3室 2厅 1卫,10947 元/m²,89.5平方米,2014年,南,中层(共29层),精装修,有,22.818788,108.450561
财富国际广场,青秀,2室 2厅 1卫,12934 元/m²,97.4平方米,2011年,南,低层(共21层),毛坯,有,22.821317,108.410837
金科观天下,西乡塘,3室 2厅 2卫,8480 元/m²,100.2平方米,2019年,南,中层(共30层),精装修,有,22.863549,108.23552
万秀小区西区,西乡塘,3室 2厅 2卫,8431 元/m²,102平方米,2007年,南,高层(共10层),简单装修,有,22.8647,108.318414
奥园瀚林誉江府,西乡塘,3室 2厅 2卫,11290 元/m²,93平方米,2018年,南北,中层(共33层),精装修,有,22.842675,108.281502
西城大学府,西乡塘,3室 2厅 2卫,3646 元/m²,96平方米,2017年,南北,中层(共28层),毛坯,有,22.853718,108.222436
中国铁建安吉山语城,西乡塘,4室 2厅 2卫,9962 元/m²,109.4平方米,2018年,南,中层(共32层),精装修,有,22.885607,108.293978
裕丰荔园,西乡塘,3室 2厅 2卫,13587 元/m²,92平方米,2014年,南,低层(共33层),精装修,有,22.840679,108.288377
龙光水悦龙湾御江,西乡塘,4室 2厅 2卫,10080 元/m²,125平方米,2019年,南,低层(共32层),精装修,有,22.820198,108.291112
世贸西城,西乡塘,1室 1厅 1卫,10804 元/m²,43平方米,2009年,南,高层(共30层),精装修,有,22.838078,108.297134
振宁现代鲁班南区,西乡塘,2室 2厅 1卫,9648 元/m²,68.4平方米,2011年,南,中层(共14层),精装修,有,22.829723,108.285942
滨江华府,西乡塘,3室 2厅 2卫,3371 元/m²,89平方米,2018年,南北,低层(共32层),精装修,有,22.864265,108.243415
天健城,西乡塘,3室 2厅 2卫,9364 元/m²,91.8平方米,2018年,南北,低层(共30层),精装修,有,22.826749,108.28811
阳光城檀悦,西乡塘,3室 2厅 2卫,10291 元/m²,95.2平方米,2017年,南北,中层(共32层),精装修,有,22.856234,108.305686
台湾街宜兰湾,西乡塘,3室 2厅 2卫,9778 元/m²,90平方米,2014年,南,中层(共30层),精装修,有,22.813198,108.300122
湖畔御景,西乡塘,3室 2厅 2卫,3933 元/m²,89平方米,2018年,南北,低层(共28层),毛坯,有,22.864071,108.24205
湖畔御景,西乡塘,3室 2厅 2卫,3258 元/m²,89平方米,2019年,南北,中层(共32层),精装修,有,22.864071,108.24205
金科观天下,西乡塘,3室 2厅 2卫,7452 元/m²,88.6平方米,2018年,南北,中层(共31层),精装修,有,22.863549,108.23552
正桂名庭,西乡塘,3室 2厅 2卫,3909 元/m²,110平方米,2017年,东,中层(共30层),毛坯,有,22.885857,108.289951
学府天地,西乡塘,3室 2厅 2卫,4130 元/m²,92平方米,2018年,南,中层(共28层),毛坯,有,22.8633,108.238677
西城大学府,西乡塘,4室 2厅 2卫,3333 元/m²,120平方米,2018年,南,中层(共30层),精装修,有,22.853718,108.222436
和德新天地,西乡塘,1室 1厅 1卫,5283 元/m²,41.6平方米,2015年,南北,高层(共32层),精装修,有,22.842905,108.224702
中梁柏仕公馆,西乡塘,2室 2厅 2卫,7918 元/m²,39.2平方米,2018年,北,高层(共19层),精装修,有,22.837741,108.226753
中梁柏仕公馆,西乡塘,2室 1厅 2卫,7876 元/m²,39.4平方米,2017年,南北,高层(共19层),毛坯,有,22.837741,108.226753
中梁柏仕公馆,西乡塘,2室 2厅 2卫,10023 元/m²,39.9平方米,2018年,南北,中层(共23层),简单装修,有,22.837741,108.226753
大都家园,西乡塘,1室 1厅 1卫,9790 元/m²,48平方米,2014年,南,高层(共26层),精装修,有,22.885905,108.32256
龙光水悦龙湾,西乡塘,3室 2厅 2卫,11011 元/m²,89平方米,2017年,东南,中层(共31层),精装修,有,22.820309,108.290729
保利心语,西乡塘,3室 2厅 2卫,7545 元/m²,92.8平方米,2017年,东南,中层(共32层),精装修,有,22.851716,108.331651
西城大学府,西乡塘,3室 2厅 1卫,3438 元/m²,96平方米,2018年,南,中层(共32层),毛坯,有,22.853718,108.222436
北湖建材城美装公寓,西乡塘,1室 1厅 1卫,3091 元/m²,44平方米,2017年,南北,中层(共9层),简单装修,有,22.873892,108.329832
金科观天下,西乡塘,3室 2厅 2卫,10208 元/m²,122.5平方米,2018年,南北,高层(共28层),精装修,有,22.863549,108.23552
学府天地,西乡塘,2室 2厅 2卫,4444 元/m²,45平方米,2019年,南北,高层(共14层),毛坯,有,22.8633,108.238677
学府天地,西乡塘,3室 2厅 2卫,4727 元/m²,55平方米,2019年,东南,高层(共14层),毛坯,有,22.8633,108.238677
学府天地,西乡塘,2室 2厅 2卫,3636 元/m²,55平方米,2019年,南北,中层(共15层),毛坯,有,22.8633,108.238677
西城大学府,西乡塘,3室 2厅 2卫,3338 元/m²,107.3平方米,2019年,南,高层(共33层),毛坯,有,22.853718,108.222436
云星创客园,西乡塘,2室 2厅 1卫,7436 元/m²,39平方米,2017年,南,中层(共15层),毛坯,有,22.893859,108.303449
美装公寓,西乡塘,2室 2厅 1卫,3182 元/m²,66平方米,2018年,南,低层(共19层),简单装修,有,22.873892,108.329832
世贸西城,西乡塘,1室 0厅 1卫,12102 元/m²,31.4平方米,2009年,南,中层(共28层),精装修,有,22.838078,108.297134
正桂名庭,西乡塘,1室 1厅 1卫,4043 元/m²,47平方米,2019年,南,中层(共29层),精装修,有,22.885857,108.289951
龙光水悦龙湾,西乡塘,3室 2厅 1卫,13660 元/m²,77.6平方米,2013年,南,低层(共34层),豪华装修,有,22.820309,108.290729
云星创客园,西乡塘,2室 2厅 2卫,10297 元/m²,40.8平方米,2019年,南,中层(共15层),毛坯,有,22.893859,108.303449
云星城市春天西区,西乡塘,3室 2厅 1卫,12299 元/m²,87平方米,2009年,南北,低层(共11层),简单装修,有,22.859018,108.329493
安吉华都,西乡塘,3室 2厅 1卫,10560 元/m²,80.5平方米,2013年,南北,高层(共30层),豪华装修,有,22.864769,108.303629
安吉华都,西乡塘,3室 2厅 1卫,10562 元/m²,80.5平方米,2013年,南北,中层(共30层),豪华装修,有,22.864769,108.303629
奔腾安吉苑,西乡塘,3室 2厅 2卫,12102 元/m²,89.2平方米,2016年,南北,低层(共30层),精装修,有,22.865066,108.307989
江川圣境,西乡塘,2室 2厅 1卫,6823 元/m²,82.1平方米,2014年,南,高层(共30层),精装修,有,22.839436,108.208248
新秀小区,西乡塘,2室 2厅 1卫,9127 元/m²,63平方米,2000年,南,中层(共8层),精装修,无,22.82654,108.291978
兴业广场,西乡塘,3室 2厅 2卫,3696 元/m²,92平方米,2017年,南北,中层(共32层),毛坯,有,22.885092,108.289993
华景园,西乡塘,3室 2厅 2卫,4938 元/m²,81平方米,2017年,南北,中层(共32层),毛坯,有,22.865319,108.308102
骋望怡璟湾,西乡塘,2室 2厅 1卫,8860 元/m²,82.4平方米,2013年,南,中层(共28层),精装修,有,22.827251,108.198603
奔腾安吉苑,西乡塘,4室 2厅 2卫,11878 元/m²,89.2平方米,2013年,南,低层(共32层),精装修,有,22.865066,108.307989
盛天时代,西乡塘,4室 2厅 2卫,12612 元/m²,97.5平方米,2013年,南,中层(共18层),精装修,有,22.87229,108.300408
大商汇国际住区,西乡塘,3室 2厅 2卫,10015 元/m²,132.8平方米,2013年,南,共5层,精装修,无,22.883016,108.299223
尚家公寓,西乡塘,2室 2厅 1卫,2857 元/m²,56平方米,2018年,南,高层(共30层),精装修,有,22.887321,108.300249
尚家公寓,西乡塘,3室 2厅 2卫,2941 元/m²,68平方米,2019年,南,中层(共30层),精装修,有,22.887321,108.300249
融创融公馆,西乡塘,1室 1厅 1卫,11483 元/m²,41.8平方米,2019年,东南,中层(共33层),精装修,有,22.817108,108.305275
世贸西城,西乡塘,1室 1厅 1卫,10804 元/m²,43平方米,2006年,南,高层(共30层),精装修,有,22.838078,108.297134
世贸商城,西乡塘,2室 1厅 1卫,10162 元/m²,67.9平方米,2012年,南北,高层(共32层),精装修,有,22.821526,108.32026
康美花园,西乡塘,3室 2厅 1卫,9180 元/m²,81.7平方米,2003年,南,高层(共8层),简单装修,无,22.826752,108.298965
瑞士花园,西乡塘,3室 2厅 1卫,8058 元/m²,103平方米,2004年,南,中层(共6层),精装修,无,22.84493,108.275397
龙光水悦龙湾,西乡塘,3室 2厅 1卫,11678 元/m²,81.4平方米,2013年,南,中层(共32层),精装修,有,22.820309,108.290729
